[Sat Apr 16 22:58:34.516785 2016] [core:info] [pid 7178] [client 10.240.0.15:47126] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.621378 2016] [core:info] [pid 7173] [client 10.240.0.185:59728] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/Logo-notext.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.656417 2016] [core:info] [pid 7175] [client 10.240.0.181:59944] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/transparent.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.682362 2016] [core:info] [pid 7176] [client 10.240.0.15:47130] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.682520 2016] [core:info] [pid 7174] [client 10.240.0.224:35804] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.726320 2016] [core:info] [pid 7178] [client 10.240.0.185:59734] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/kontakt/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.758177 2016] [core:info] [pid 7173] [client 10.240.0.15:47134] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.769367 2016] [core:info] [pid 7175] [client 10.240.0.185:59736] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.770886 2016] [core:info] [pid 7176] [client 10.240.0.224:35806] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/historia/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.787394 2016] [core:info] [pid 7174] [client 10.240.0.185:59738] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/1.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.788486 2016] [core:info] [pid 7178] [client 10.240.0.215:39528] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/2.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.832103 2016] [core:info] [pid 7173] [client 10.240.0.185:59740] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/3.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.884021 2016] [core:info] [pid 7175] [client 10.240.0.185:59742] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/4.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:58:34.887495 2016] [core:info] [pid 7176] [client 10.240.0.15:47140] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/logo-text.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.614573 2016] [core:info] [pid 7178] [client 10.240.0.196:48198] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.616488 2016] [core:info] [pid 7173] [client 10.240.0.224:36556] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.617854 2016] [core:info] [pid 7175] [client 10.240.0.215:39714] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.619014 2016] [core:info] [pid 7176] [client 10.240.0.15:47934] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.710734 2016] [core:info] [pid 7174] [client 10.240.0.196:48204] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/Logo-notext.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.791592 2016] [core:info] [pid 7178] [client 10.240.0.196:48208] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/transparent.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.811170 2016] [core:info] [pid 7173] [client 10.240.0.215:39716] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.895571 2016] [core:info] [pid 7175] [client 10.240.0.196:48214] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/kontakt/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.911925 2016] [core:info] [pid 7176] [client 10.240.0.15:47936] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:13.998969 2016] [core:info] [pid 7174] [client 10.240.0.196:48216] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.016830 2016] [core:info] [pid 7178] [client 10.240.0.224:36564] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.019838 2016] [core:info] [pid 7173] [client 10.240.0.181:60350] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/historia/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.025305 2016] [core:info] [pid 7175] [client 10.240.0.177:53454] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/1.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.030000 2016] [core:info] [pid 7176] [client 10.240.0.224:36566] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/2.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.039993 2016] [core:info] [pid 7174] [client 10.240.0.185:60662] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/3.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.103282 2016] [core:info] [pid 7178] [client 10.240.0.196:48220] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/4.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 22:59:14.121223 2016] [core:info] [pid 7173] [client 10.240.0.177:53458] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/logo-text.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.017188 2016] [core:info] [pid 7176] [client 10.240.0.215:46994] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.022575 2016] [core:info] [pid 7174] [client 10.240.0.224:39984] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.026570 2016] [core:info] [pid 7178] [client 10.240.0.185:41474] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.026590 2016] [core:info] [pid 7173] [client 10.240.0.185:41476] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.112569 2016] [core:info] [pid 7175] [client 10.240.0.185:41480] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/Logo-notext.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.174779 2016] [core:info] [pid 7176] [client 10.240.0.185:41484] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/transparent.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.214853 2016] [core:info] [pid 7174] [client 10.240.0.215:46996] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/kontakt/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.280529 2016] [core:info] [pid 7178] [client 10.240.0.185:41488] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.285198 2016] [core:info] [pid 7173] [client 10.240.0.224:39986] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.288107 2016] [core:info] [pid 7175] [client 10.240.0.215:46998] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.291227 2016] [core:info] [pid 7176] [client 10.240.0.185:41490] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/historia/1.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.294856 2016] [core:info] [pid 7174] [client 10.240.0.177:34728] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/breadInSquare/h2.jpg, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.326867 2016] [core:info] [pid 7178] [client 10.240.0.185:41492] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/1.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.385836 2016] [core:info] [pid 7173] [client 10.240.0.185:41494] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/2.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.389999 2016] [core:info] [pid 7175] [client 10.240.0.215:47000] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/3.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.408897 2016] [core:info] [pid 7176] [client 10.240.0.177:34732] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/sortiment/4.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:08:57.410140 2016] [core:info] [pid 7174] [client 10.240.0.185:41496] AH00128: File does not exist: /home/ubuntu/workspace/Bilder/logo-text.png, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:09:05.561156 2016] [core:info] [pid 7173] [client 10.240.0.185:41684] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:09:05.565012 2016] [core:info] [pid 7175] [client 10.240.0.185:41686] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:09:05.566215 2016] [core:info] [pid 7175] [client 10.240.0.215:47152] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:09:05.588879 2016] [core:info] [pid 7174] [client 10.240.0.195:55030] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:16:51.686591 2016] [core:info] [pid 7176] [client 10.240.0.177:39986] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:16:51.702909 2016] [core:info] [pid 7174] [client 10.240.0.215:51168] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:16:51.707217 2016] [core:info] [pid 7178] [client 10.240.0.195:60784] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:16:51.708510 2016] [core:info] [pid 7178] [client 10.240.0.225:40724] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:18.517949 2016] [core:info] [pid 7175] [client 10.240.0.177:40324] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:18.518058 2016] [core:info] [pid 7174] [client 10.240.0.195:32874] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:18.525744 2016] [core:info] [pid 7173] [client 10.240.0.195:32876] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:18.529529 2016] [core:info] [pid 7176] [client 10.240.0.185:48274] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:39.488051 2016] [core:info] [pid 7174] [client 10.240.0.195:33182] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:39.492266 2016] [core:info] [pid 7173] [client 10.240.0.177:40550] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:39.497284 2016] [core:info] [pid 7178] [client 10.240.0.185:48390] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:39.501793 2016] [core:info] [pid 7175] [client 10.240.0.224:44086] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:59.733089 2016] [core:info] [pid 7173] [client 10.240.0.195:33540] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:59.739669 2016] [core:info] [pid 7178] [client 10.240.0.224:44322] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:59.742146 2016] [core:info] [pid 7176] [client 10.240.0.195:33542] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:17:59.749338 2016] [core:info] [pid 7174] [client 10.240.0.177:40778] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:02.361216 2016] [core:info] [pid 7178] [client 10.240.0.195:33586] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:02.363127 2016] [core:info] [pid 7176] [client 10.240.0.224:44344] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:02.364253 2016] [core:info] [pid 7175] [client 10.240.0.177:40798] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:02.365336 2016] [core:info] [pid 7174] [client 10.240.0.195:33588] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:03.607164 2016] [core:info] [pid 7176] [client 10.240.0.195:33610] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:03.611567 2016] [core:info] [pid 7175] [client 10.240.0.195:33612] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:03.613181 2016] [core:info] [pid 7174] [client 10.240.0.224:44352] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:03.614293 2016] [core:info] [pid 7173] [client 10.240.0.177:40808] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:25.319524 2016] [core:info] [pid 7176] [client 10.240.0.224:44638] AH00128: File does not exist: /home/ubuntu/workspace/Styles/css/style.css, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:25.321348 2016] [core:info] [pid 7174] [client 10.240.0.185:48872] AH00128: File does not exist: /home/ubuntu/workspace/Script/jqueryColor.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:25.321694 2016] [core:info] [pid 7175] [client 10.240.0.185:48874] AH00128: File does not exist: /home/ubuntu/workspace/Script/script.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
[Sat Apr 16 23:18:25.327035 2016] [core:info] [pid 7178] [client 10.240.0.195:33920] AH00128: File does not exist: /home/ubuntu/workspace/Script/googleMaps.js, referer: https://scollsite-arvid8.c9users.io/?_c9_id=livepreview1&_c9_host=https://ide.c9.io
